,pol_number,gender,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0,age_at_eff_dt
0,43124327,F,381.0,D,133.6,2,HBACK,1.331,0,0.0,52
1,21919609,F,549.0,D,163.6,1,UTE,3.74,0,0.0,38
2,72577057,M,649.0,B,117.5,4,COUPE,0.88,0,0.0,37
3,92175225,M,743.0,B,100.7,3,SEDAN,1.045,0,0.0,60
4,66223239,F,817.0,C,115.5,4,HBACK,0.473,0,0.0,53
5,38830387,F,741.0,B,153.2,4,MIBUS,1.661,0,0.0,54
6,91282242,M,533.0,C,132.0,3,HBACK,0.869,0,0.0,32
7,13413592,M,681.0,B,154.3,4,UTE,0.836,0,0.0,62
8,92017351,F,814.0,B,147.7,4,SEDAN,0.979,0,0.0,52
9,70402562,F,699.0,A,82.7,3,SEDAN,0.913,0,0.0,41
10,65057417,F,562.0,A,51.5,3,HDTOP,3.388,0,0.0,32
11,82372076,M,750.0,A,82.0,4,SEDAN,0.473,0,0.0,41
12,12658417,F,491.0,A,110.7,4,HBACK,0.803,0,0.0,90
15,87530957,M,584.0,C,105.0,3,SEDAN,1.529,1,1120.83336,63
16,18326922,M,701.0,C,133.5,3,HBACK,0.814,0,0.0,38
17,54777506,M,731.0,B,108.5,4,SEDAN,0.484,0,0.0,42
18,56929711,M,396.0,E,25.5,4,UTE,1.65,2,4548.075015,43
19,20079822,M,636.0,C,120.0,4,STNWG,1.364,0,0.0,54
20,49630401,M,634.0,A,86.0,4,SEDAN,0.451,0,0.0,56
21,62773193,F,767.0,C,139.5,4,SEDAN,0.66,0,0.0,65
22,35818497,F,582.0,A,51.6,3,SEDAN,1.287,0,0.0,33
23,66215208,F,506.0,B,101.3,3,HBACK,1.386,0,0.0,22
24,29094336,M,613.0,C,132.0,4,UTE,1.584,0,0.0,50
26,54600021,F,704.0,B,125.7,2,HBACK,1.914,0,0.0,67
27,28807006,F,792.0,A,119.5,1,STNWG,4.752,0,0.0,57
28,19049475,F,347.0,B,136.3,3,SEDAN,1.617,1,2265.262185,55
29,65740448,F,493.0,C,148.5,2,STNWG,3.421,0,0.0,48
30,90907687,F,431.0,C,111.0,1,HBACK,2.4178,3,6616.97157,40
31,79833497,M,737.0,A,87.2,3,UTE,1.111,0,0.0,68
33,84063076,F,639.0,D,88.0,3,SEDAN,1.133,0,0.0,39
34,80432273,M,837.0,A,98.3,4,STNWG,1.991,0,0.0,64
35,99842780,F,593.0,D,109.1,1,SEDAN,2.75,1,4442.096621,67
36,38450680,F,528.0,A,100.4,3,SEDAN,1.342,0,0.0,54
37,70979026,F,797.0,E,24.0,4,UTE,1.254,0,0.0,64
38,33387630,F,431.0,B,137.3,3,HBACK,0.99,0,0.0,31
39,95283169,F,798.0,B,129.6,4,SEDAN,1.188,2,225.489518,52
40,75312198,F,719.0,D,103.3,1,SEDAN,2.629,0,0.0,78
41,40445878,F,831.0,E,16.5,3,STNWG,2.662,0,0.0,58
42,70398742,M,693.0,B,115.0,4,STNWG,0.814,0,0.0,53
43,45856577,M,638.0,A,100.0,4,STNWG,1.782,0,0.0,45
44,96218449,M,783.0,E,39.0,4,HDTOP,0.99,0,0.0,46
45,34309118,M,685.0,B,98.1,4,MIBUS,1.386,0,0.0,59
46,96302679,F,652.0,D,133.3,2,STNWG,4.95,0,0.0,32
47,17558859,M,648.0,A,104.4,3,STNWG,1.353,0,0.0,80
48,47961092,M,420.0,B,118.5,2,STNWG,3.894,2,10053.85446,68
49,73618574,M,823.0,D,107.1,3,HBACK,0.847,1,545.0630094,77
50,55703367,F,667.0,A,80.5,3,COUPE,1.298,0,0.0,49
51,30485480,M,572.0,C,136.5,3,SEDAN,2.068,0,0.0,34
52,12293905,M,782.0,F,164.0,4,STNWG,1.672,0,0.0,66
53,82305571,M,731.0,B,127.0,2,SEDAN,3.52,0,0.0,55
54,47020162,F,846.0,C,130.5,3,HBACK,1.848,0,0.0,67
