,gender,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0,age_at_eff_dt,Cluster
12214,M,648.0,A,72.1,2,SEDAN,2.376,0,0.0,53,Cluster 2
23734,F,707.0,C,130.5,1,SEDAN,3.212,0,0.0,36,Cluster 2
28027,M,603.0,A,67.8,3,HBACK,1.001,0,0.0,37,Cluster 2
56713,M,711.0,C,141.0,1,STNWG,3.113,0,0.0,60,Cluster 2
20290,M,384.0,C,93.0,4,STNWG,2.145,1,866.8598535,35,Cluster 0
30198,M,608.0,A,107.7,3,STNWG,1.243,0,0.0,32,Cluster 2
40417,F,554.0,C,126.0,4,STNWG,1.969,1,1350.312082,60,Cluster 0
8935,F,678.0,E,34.5,3,SEDAN,0.891,0,0.0,43,Cluster 2
53691,F,755.0,A,108.1,2,HBACK,1.914,0,0.0,62,Cluster 2
41647,F,703.0,D,74.3,4,SEDAN,0.385,1,185.4320582,66,Cluster 0
57338,M,744.0,A,75.3,1,UTE,4.081,1,718.9923192,22,Cluster 0
2658,F,704.0,D,137.6,3,COUPE,1.705,1,650.2970872,53,Cluster 0
42074,M,665.0,C,129.0,3,SEDAN,1.463,0,0.0,31,Cluster 2
29180,F,607.0,F,34.0,3,HBACK,0.891,1,592.4583292,23,Cluster 0
50880,F,809.0,E,15.0,1,STNWG,6.0489,0,0.0,65,Cluster 2
26430,F,713.0,D,112.1,3,SEDAN,0.891,1,130.9102294,85,Cluster 0
11310,F,751.0,C,142.5,1,HBACK,1.837,0,0.0,70,Cluster 2
2299,F,554.0,D,93.8,3,HBACK,0.935,0,0.0,49,Cluster 2
31124,M,,C,148.5,3,SEDAN,0.979,0,0.0,20,Cluster 2
34118,M,,B,,4,SEDAN,0.781,0,0.0,25,Cluster 2
21247,M,657.0,A,48.9,4,MIBUS,1.353,0,0.0,37,Cluster 2
48894,M,527.0,B,89.5,2,STNWG,2.75,0,0.0,42,Cluster 2
49018,F,506.0,A,77.0,3,MIBUS,2.189,0,0.0,37,Cluster 2
25400,M,434.0,D,79.3,1,TRUCK,5.214,1,28057.15568,65,Cluster 1
27243,F,757.0,C,124.5,3,SEDAN,1.452,0,0.0,64,Cluster 2
17313,F,767.0,E,66.0,3,STNWG,3.41,0,0.0,46,Cluster 2
9183,M,775.0,B,132.5,4,PANVN,0.495,0,0.0,51,Cluster 2
59014,F,805.0,D,129.4,2,SEDAN,2.145,0,0.0,76,Cluster 2
41601,M,609.0,B,62.3,4,HBACK,0.418,3,720.6924818,52,Cluster 0
26276,F,669.0,D,61.6,2,STNWG,5.335,0,0.0,59,Cluster 2
34749,M,599.0,A,78.0,1,HBACK,1.507,0,0.0,57,Cluster 2
8565,M,738.0,C,144.0,2,SEDAN,1.914,0,0.0,67,Cluster 2
